XMax,XMin,YMax,YMin,SMA Intensity,MEK1/2 Intensity,MKI67 Intensity,CD14 Intensity,ERK1/2 Intensity,CD16 Intensity,CD31 Intensity,ICOS Intensity,CD29 Intensity,PDL1 Intensity,OX40 Intensity,CD45 Intensity,LAG3 Intensity,TIM3 Intensity,FOXP3 Intensity,CD4 Intensity,CCR7 Intensity,CD68 Intensity,VISTA Intensity,CD20 Intensity,CD8A Intensity,pMEK1/2 Intensity,SOX10 Intensity,CTNNB1 Intensity,CD45RA Intensity,IGLL5 Intensity,CD40 Intensity,COL1 Intensity,CD3 Intensity,pERK1/2 Intensity,CASP3 Intensity,CD45RO Intensity,HLA-DR Intensity,S100 Intensity,H3 Intensity,SMA Positive,MEK1/2 Positive,MKI67 Positive,CD14 Positive,ERK1/2 Positive,CD16 Positive,CD31 Positive,ICOS Positive,CD29 Positive,PDL1 Positive,OX40 Positive,CD45 Positive,LAG3 Positive,TIM3 Positive,FOXP3 Positive,CD4 Positive,CCR7 Positive,CD68 Positive,VISTA Positive,CD20 Positive,CD8A Positive,pMEK1/2 Positive,SOX10 Positive,CTNNB1 Positive,CD45RA Positive,IGLL5 Positive,CD40 Positive,COL1 Positive,CD3 Positive,pERK1/2 Positive,CASP3 Positive,CD45RO Positive,HLA-DR Positive,S100 Positive,H3 Positive
246.76388888888889,246.76388888888889,6.472222222222222,6.472222222222222,12.153846153846153,4.630769230769231,1.375,7.653846153846154,7.805555555555555,2.84375,1.3,1.4444444444444444,1.6363636363636365,1.631578947368421,1.4285714285714286,1.3333333333333333,1.3333333333333333,2.388888888888889,1.2222222222222223,2.176470588235294,15.194029850746269,3.980392156862745,1.6666666666666667,1.0,1.4,2.267857142857143,4.467741935483871,1.5909090909090908,1.5384615384615385,1.0,1.7647058823529411,1.8285714285714285,1.2222222222222223,1.6764705882352942,1.6,2.340909090909091,2.0,17.083333333333332,329.06944444444446,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
952.3734939759037,952.3734939759037,5.373493975903615,5.373493975903615,1.5555555555555556,4.804878048780488,1.4,4.407407407407407,7.109756097560975,2.185185185185185,1.4705882352941178,1.1428571428571428,1.4285714285714286,1.631578947368421,1.0,1.25,1.25,2.135135135135135,1.0,1.3333333333333333,15.053333333333333,2.5,1.2272727272727273,1.1666666666666667,1.28,2.9130434782608696,5.527777777777778,1.6388888888888888,1.45,1.75,1.4736842105263157,1.5116279069767442,1.0,1.702127659574468,1.5,1.8928571428571428,1.457142857142857,9.987951807228916,208.04819277108433,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0
183.32258064516128,183.32258064516128,5.516129032258065,5.516129032258065,9.53061224489796,5.358974358974359,1.1818181818181819,7.302752293577981,9.422764227642276,2.111111111111111,1.4523809523809523,1.5,1.690909090909091,1.6603773584905661,1.4615384615384615,1.75,1.4,2.9873417721518987,1.5,1.3823529411764706,25.19327731092437,6.407407407407407,1.6744186046511629,1.5,1.5833333333333333,2.0588235294117645,4.25531914893617,1.72,1.5714285714285714,1.2857142857142858,1.3529411764705883,1.6290322580645162,1.3636363636363635,1.2272727272727273,1.5737704918032787,1.816326530612245,1.8166666666666667,27.048387096774192,273.53225806451616,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1
427.52941176470586,427.52941176470586,5.788235294117647,5.788235294117647,10.923076923076923,4.753086419753086,2.6296296296296298,8.742424242424242,10.847058823529412,2.4,1.32,1.1,1.5588235294117647,1.3666666666666667,1.25,2.1538461538461537,1.125,2.25,1.3,2.25,22.80722891566265,4.666666666666667,2.5,1.1538461538461537,1.375,2.9411764705882355,6.064102564102564,1.8205128205128205,1.8636363636363635,1.1428571428571428,1.5,1.8125,1.2,1.872340425531915,1.8431372549019607,2.3636363636363638,2.0,20.08235294117647,325.18823529411765,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
486.25961538461536,486.25961538461536,5.8076923076923075,5.8076923076923075,1.90625,4.73,1.6363636363636365,3.0,8.836538461538462,1.302325581395349,1.35,1.1111111111111112,1.9423076923076923,1.4074074074074074,1.0,1.125,1.0,2.1636363636363636,1.5,1.2666666666666666,23.23469387755102,2.9871794871794872,1.5,1.6666666666666667,1.2307692307692308,3.460674157303371,5.6,1.5869565217391304,1.6551724137931034,1.125,1.4444444444444444,1.728813559322034,1.25,2.1486486486486487,1.6842105263157894,1.3888888888888888,1.7755102040816326,12.961538461538462,220.6153846153846,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1
576.9222222222222,576.9222222222222,5.866666666666666,5.866666666666666,8.166666666666666,5.275862068965517,1.0,2.861111111111111,10.311111111111112,1.8108108108108107,1.6153846153846154,10.0,2.3484848484848486,1.5833333333333333,1.2857142857142858,1.0,1.0,2.7818181818181817,1.4375,1.2857142857142858,30.455555555555556,3.5822784810126582,1.5161290322580645,1.1875,1.4583333333333333,2.9342105263157894,5.168674698795181,1.6981132075471699,1.588235294117647,1.3846153846153846,1.375,2.017857142857143,1.375,2.323529411764706,1.6875,1.4230769230769231,2.1315789473684212,22.11111111111111,212.57777777777778,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
296.4842105263158,296.4842105263158,6.326315789473684,6.326315789473684,6.0,4.4875,2.0833333333333335,7.546875,10.873684210526315,2.066666666666667,1.8666666666666667,1.5454545454545454,1.5142857142857142,1.36,1.1111111111111112,1.3333333333333333,1.0,2.7142857142857144,1.2857142857142858,1.6818181818181819,18.352272727272727,3.260869565217391,1.631578947368421,1.4444444444444444,1.1666666666666667,2.0847457627118646,4.011627906976744,1.3428571428571427,1.4074074074074074,1.4285714285714286,1.8461538461538463,1.5416666666666667,1.25,2.101449275362319,1.9411764705882353,1.7608695652173914,1.85,15.736842105263158,230.49473684210525,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
727.7706422018349,727.7706422018349,6.055045871559633,6.055045871559633,3.6842105263157894,4.813725490196078,1.0714285714285714,3.5,9.339449541284404,1.3541666666666667,1.625,1.0,1.9142857142857144,1.3513513513513513,1.1111111111111112,1.3333333333333333,1.5,1.896551724137931,1.1428571428571428,1.3888888888888888,27.686274509803923,5.8375,1.3823529411764706,1.3333333333333333,1.2758620689655173,2.744186046511628,5.181818181818182,1.7627118644067796,1.4666666666666666,1.6666666666666667,1.4375,2.216666666666667,1.3571428571428572,1.84375,1.826086956521739,1.3870967741935485,1.826086956521739,18.192660550458715,213.77064220183487,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
922.7304964539007,922.7304964539007,6.439716312056738,6.439716312056738,7.183673469387755,4.2153846153846155,1.0,5.2,9.920289855072463,2.126984126984127,1.8666666666666667,1.0,1.826086956521739,1.368421052631579,1.5,1.0833333333333333,1.4285714285714286,2.5964912280701755,1.2,2.235294117647059,26.53676470588235,4.257425742574258,1.7317073170731707,1.125,1.3636363636363635,2.223404255319149,7.655737704918033,2.0113636363636362,3.0,1.2173913043478262,1.5263157894736843,17.0,1.4285714285714286,1.5405405405405406,1.55,1.9642857142857142,1.796875,26.446043165467625,217.51063829787233,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1
24.462365591397848,24.462365591397848,6.838709677419355,6.838709677419355,10.743589743589743,4.943820224719101,4.585365853658536,2.5342465753424657,9.494623655913978,1.3636363636363635,1.375,4.0,2.2,1.6428571428571428,1.0,1.0,1.1666666666666667,1.9710144927536233,1.3333333333333333,1.3571428571428572,37.48913043478261,2.3194444444444446,1.6896551724137931,1.8181818181818181,1.2692307692307692,2.8933333333333335,3.0694444444444446,1.653061224489796,1.5217391304347827,1.3333333333333333,1.2857142857142858,2.163265306122449,1.0,2.4705882352941178,1.7567567567567568,1.391304347826087,1.9736842105263157,14.118279569892474,228.01075268817203,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1
