XMax,XMin,YMax,YMin,SMA Intensity,MEK1/2 Intensity,MKI67 Intensity,CD14 Intensity,ERK1/2 Intensity,CD16 Intensity,CD31 Intensity,ICOS Intensity,CD29 Intensity,PDL1 Intensity,OX40 Intensity,CD45 Intensity,LAG3 Intensity,TIM3 Intensity,FOXP3 Intensity,CD4 Intensity,CCR7 Intensity,CD68 Intensity,VISTA Intensity,CD20 Intensity,CD8A Intensity,pMEK1/2 Intensity,SOX10 Intensity,CTNNB1 Intensity,CD45RA Intensity,IGLL5 Intensity,CD40 Intensity,COL1 Intensity,CD3 Intensity,pERK1/2 Intensity,CASP3 Intensity,CD45RO Intensity,HLA-DR Intensity,S100 Intensity,H3 Intensity,SMA Positive,MEK1/2 Positive,MKI67 Positive,CD14 Positive,ERK1/2 Positive,CD16 Positive,CD31 Positive,ICOS Positive,CD29 Positive,PDL1 Positive,OX40 Positive,CD45 Positive,LAG3 Positive,TIM3 Positive,FOXP3 Positive,CD4 Positive,CCR7 Positive,CD68 Positive,VISTA Positive,CD20 Positive,CD8A Positive,pMEK1/2 Positive,SOX10 Positive,CTNNB1 Positive,CD45RA Positive,IGLL5 Positive,CD40 Positive,COL1 Positive,CD3 Positive,pERK1/2 Positive,CASP3 Positive,CD45RO Positive,HLA-DR Positive,S100 Positive,H3 Positive
296.825,296.825,6.1125,6.1125,10.117647058823529,3.546666666666667,7.621212121212121,1.9591836734693877,9.5,1.6451612903225807,1.375,89.11111111111111,2.076923076923077,1.5142857142857142,1.0,1.2857142857142858,1.0,1.3571428571428572,1.2222222222222223,1.3333333333333333,30.6875,1.975,1.68,1.2222222222222223,1.3636363636363635,1.951219512195122,3.3043478260869565,1.4102564102564104,1.8709677419354838,1.4,1.6785714285714286,8.835443037974683,1.25,1.1333333333333333,1.5405405405405406,1.5161290322580645,2.1724137931034484,4.782051282051282,434.525,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
830.3846153846154,830.3846153846154,4.8173076923076925,4.8173076923076925,2.9166666666666665,3.9894736842105263,5.592105263157895,1.6551724137931034,11.423076923076923,1.5714285714285714,1.3870967741935485,1.3571428571428572,1.7166666666666666,1.5384615384615385,1.4444444444444444,1.3,1.1428571428571428,1.697674418604651,1.2727272727272727,1.5454545454545454,70.64423076923077,2.076923076923077,1.6904761904761905,1.4285714285714286,1.9705882352941178,2.4615384615384617,4.404255319148936,1.793103448275862,1.7547169811320755,1.1428571428571428,1.6,6.941747572815534,1.0,1.3571428571428572,1.4878048780487805,1.588235294117647,2.32,6.372549019607843,353.0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1
163.9875,163.9875,5.625,5.625,4.434782608695652,3.2686567164179103,1.5,1.6829268292682926,8.7875,1.5,1.434782608695652,21.727272727272727,1.7555555555555555,1.34375,1.0,1.2,1.0,1.605263157894737,1.1875,1.25,90.875,2.0277777777777777,1.7142857142857142,1.434782608695652,1.3043478260869565,2.0555555555555554,2.210526315789474,1.9215686274509804,1.641025641025641,1.25,1.2857142857142858,8.415584415584416,1.2,1.4444444444444444,1.3076923076923077,1.3,2.08,3.9726027397260273,275.9125,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
269.7560975609756,269.7560975609756,5.487804878048781,5.487804878048781,8.072727272727272,4.493827160493828,2.4285714285714284,2.076923076923077,13.304878048780488,1.75,1.5294117647058822,9.75,2.1538461538461537,1.7272727272727273,1.1,1.0,1.2222222222222223,2.0,1.3333333333333333,1.7142857142857142,51.0,2.1311475409836067,1.625,1.2,1.4814814814814814,2.2549019607843137,4.078947368421052,1.7894736842105263,1.6486486486486487,1.4285714285714286,1.6,9.860759493670885,1.3846153846153846,1.3,1.542857142857143,1.5263157894736843,2.2666666666666666,7.1375,408.2439024390244,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
858.0847457627119,858.0847457627119,6.288135593220339,6.288135593220339,7.6,2.94,1.25,1.3157894736842106,7.11864406779661,1.1538461538461537,1.1428571428571428,1.0,1.6129032258064515,1.2857142857142858,1.2,1.0,1.0,1.2857142857142858,1.375,1.0833333333333333,30.74576271186441,1.9722222222222223,1.5625,1.4545454545454546,1.1333333333333333,1.7777777777777777,2.8979591836734695,1.588235294117647,2.1153846153846154,1.0,1.4285714285714286,10.694915254237289,1.8,1.0,1.4210526315789473,1.0,1.5769230769230769,3.1153846153846154,194.864406779661,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
505.39252336448595,505.39252336448595,7.018691588785047,7.018691588785047,10.015384615384615,2.353846153846154,1.0,1.56,4.642857142857143,1.7,1.0,1.4,1.875,1.4782608695652173,1.1428571428571428,1.0,1.0,1.9714285714285715,1.1666666666666667,1.375,20.052083333333332,1.5238095238095237,1.3333333333333333,1.1111111111111112,1.2666666666666666,1.4166666666666667,1.2307692307692308,1.391304347826087,1.3333333333333333,1.3333333333333333,1.0714285714285714,90.14018691588785,1.4285714285714286,1.125,1.1764705882352942,1.55,1.3928571428571428,1.3055555555555556,92.59433962264151,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
884.6153846153846,884.6153846153846,7.197802197802198,7.197802197802198,6.475,2.7662337662337664,1.975609756097561,1.4516129032258065,7.50561797752809,1.2727272727272727,1.2857142857142858,1.0,1.4074074074074074,1.5454545454545454,1.0,1.2857142857142858,7.0,1.1764705882352942,1.5454545454545454,1.2222222222222223,15.428571428571429,1.525,1.2727272727272727,1.0909090909090908,1.4666666666666666,1.7027027027027026,2.6666666666666665,1.411764705882353,1.7142857142857142,1.25,1.3181818181818181,5.365853658536586,1.125,1.125,1.2727272727272727,1.2727272727272727,1.9487179487179487,4.488095238095238,284.34065934065933,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965.4431818181819,965.4431818181819,7.431818181818182,7.431818181818182,13.666666666666666,4.806818181818182,1.1111111111111112,2.207547169811321,12.511363636363637,1.3,1.588235294117647,1.1818181818181819,1.6129032258064515,1.4166666666666667,1.1428571428571428,1.0,1.0,1.7142857142857142,1.4285714285714286,1.5588235294117647,60.38636363636363,1.921875,1.236842105263158,1.125,1.3214285714285714,2.23943661971831,2.112676056338028,1.6363636363636365,1.7391304347826086,1.25,1.4444444444444444,7.590909090909091,1.1,1.6666666666666667,1.6153846153846154,1.0,1.565217391304348,3.607594936708861,104.27272727272727,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
282.8125,282.8125,7.633928571428571,7.633928571428571,3.5,4.277777777777778,3.0,1.4918032786885247,10.366071428571429,1.3333333333333333,1.2727272727272727,6.461538461538462,2.056603773584906,1.4107142857142858,1.0909090909090908,1.2222222222222223,2.5384615384615383,1.5,1.1333333333333333,1.3043478260869565,42.24107142857143,2.507042253521127,1.75,1.1818181818181819,1.302325581395349,1.8771929824561404,2.7524752475247523,1.88,1.6379310344827587,1.2916666666666667,1.6041666666666667,6.904761904761905,1.5714285714285714,1.4705882352941178,1.7045454545454546,1.6666666666666667,2.4225352112676055,7.116071428571429,452.08035714285717,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
661.0632911392405,661.0632911392405,7.455696202531645,7.455696202531645,6.823529411764706,3.0689655172413794,1.6,1.7096774193548387,8.115384615384615,1.380952380952381,1.3125,1.2727272727272727,2.2448979591836733,1.4761904761904763,1.0,1.0,1.0,1.5172413793103448,1.2727272727272727,1.1764705882352942,47.392405063291136,1.837837837837838,1.4230769230769231,1.1176470588235294,1.4090909090909092,2.6363636363636362,2.7457627118644066,1.5952380952380953,1.7058823529411764,1.2,1.3181818181818181,26.653846153846153,1.0,1.2307692307692308,1.5142857142857142,1.5,1.853658536585366,4.373134328358209,219.56962025316454,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
