XMax,XMin,YMax,YMin,SMA Intensity,MEK1/2 Intensity,MKI67 Intensity,CD14 Intensity,ERK1/2 Intensity,CD16 Intensity,CD31 Intensity,ICOS Intensity,CD29 Intensity,PDL1 Intensity,OX40 Intensity,CD45 Intensity,LAG3 Intensity,TIM3 Intensity,FOXP3 Intensity,CD4 Intensity,CCR7 Intensity,CD68 Intensity,VISTA Intensity,CD20 Intensity,CD8A Intensity,pMEK1/2 Intensity,SOX10 Intensity,CTNNB1 Intensity,CD45RA Intensity,IGLL5 Intensity,CD40 Intensity,COL1 Intensity,CD3 Intensity,pERK1/2 Intensity,CASP3 Intensity,CD45RO Intensity,HLA-DR Intensity,S100 Intensity,H3 Intensity,SMA Positive,MEK1/2 Positive,MKI67 Positive,CD14 Positive,ERK1/2 Positive,CD16 Positive,CD31 Positive,ICOS Positive,CD29 Positive,PDL1 Positive,OX40 Positive,CD45 Positive,LAG3 Positive,TIM3 Positive,FOXP3 Positive,CD4 Positive,CCR7 Positive,CD68 Positive,VISTA Positive,CD20 Positive,CD8A Positive,pMEK1/2 Positive,SOX10 Positive,CTNNB1 Positive,CD45RA Positive,IGLL5 Positive,CD40 Positive,COL1 Positive,CD3 Positive,pERK1/2 Positive,CASP3 Positive,CD45RO Positive,HLA-DR Positive,S100 Positive,H3 Positive
33.544444444444444,33.544444444444444,3.5555555555555554,3.5555555555555554,12.181818181818182,3.548780487804878,1.1,1.8936170212765957,8.068181818181818,1.588235294117647,1.3888888888888888,55.5625,1.4482758620689655,1.6666666666666667,1.375,2.0,1.0,2.6206896551724137,1.25,1.4666666666666666,62.21111111111111,2.9482758620689653,1.55,1.0588235294117647,1.4230769230769231,2.1458333333333335,2.808219178082192,5.370786516853933,2.1666666666666665,1.0,1.2666666666666666,1.7777777777777777,1.2,1.2222222222222223,1.5483870967741935,1.631578947368421,1.951219512195122,2.540983606557377,228.0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
56.354838709677416,56.354838709677416,5.951612903225806,5.951612903225806,6.966666666666667,3.3859649122807016,1.25,1.5161290322580645,8.295081967213115,1.7777777777777777,1.4444444444444444,1.4285714285714286,1.8235294117647058,1.5925925925925926,1.0,1.25,1.0,3.2051282051282053,1.2,1.7,38.61290322580645,3.148936170212766,1.631578947368421,1.0909090909090908,1.45,1.7714285714285714,2.6808510638297873,5.129032258064516,1.9259259259259258,1.5714285714285714,1.3,1.75,1.125,1.0,1.4583333333333333,1.3333333333333333,2.0357142857142856,2.0526315789473686,247.0483870967742,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
334.11290322580646,334.11290322580646,6.274193548387097,6.274193548387097,9.222222222222221,2.7547169811320753,1.4,1.6206896551724137,6.816666666666666,1.3157894736842106,1.0,10.2,1.7777777777777777,1.4,1.0,1.0,1.25,1.380952380952381,1.0,1.1111111111111112,29.049180327868854,2.085714285714286,1.5,1.0833333333333333,1.5,1.9130434782608696,3.314814814814815,5.409836065573771,1.962962962962963,1.3333333333333333,1.3333333333333333,1.4722222222222223,1.4285714285714286,1.3846153846153846,1.1333333333333333,1.5,1.7575757575757576,1.32,291.9032258064516,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
112.14473684210526,112.14473684210526,4.2368421052631575,4.2368421052631575,3.066666666666667,4.104477611940299,1.3333333333333333,7.557142857142857,8.68421052631579,1.9807692307692308,1.4285714285714286,1.2,1.5666666666666667,1.588235294117647,1.0,1.75,1.0,2.816666666666667,1.0,2.5384615384615383,40.46052631578947,15.447368421052632,2.073170731707317,1.1666666666666667,1.45,2.204081632653061,1.8095238095238095,2.8,1.7555555555555555,1.2142857142857142,1.75,12.486486486486486,1.5555555555555556,1.0,2.7450980392156863,1.8717948717948718,1.6521739130434783,1.4,121.75,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
378.67088607594934,378.67088607594934,4.848101265822785,4.848101265822785,10.53125,3.19672131147541,1.0,1.5454545454545454,6.784810126582278,1.5333333333333334,1.5333333333333334,11.5,1.4230769230769231,1.25,1.25,1.0,1.0,2.4054054054054053,1.25,1.4285714285714286,36.860759493670884,2.480769230769231,1.4,1.0769230769230769,1.45,1.951219512195122,2.985074626865672,4.972972972972973,1.5238095238095237,1.4,1.2352941176470589,1.368421052631579,1.2222222222222223,1.6,1.6666666666666667,1.4666666666666666,1.7647058823529411,3.0,212.7594936708861,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
46.640625,46.640625,6.015625,6.015625,2.65,3.280701754385965,1.2857142857142858,1.4137931034482758,6.59375,1.6,1.2727272727272727,1.3333333333333333,1.52,1.5,1.2,1.25,1.0,2.657142857142857,1.2727272727272727,1.5,49.65625,2.607843137254902,1.9166666666666667,1.5,1.15,1.7272727272727273,2.142857142857143,4.640625,3.107142857142857,1.1428571428571428,1.6666666666666667,1.8275862068965518,1.0,1.5,1.2,1.4285714285714286,1.5217391304347827,1.4736842105263157,170.421875,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
599.9625,599.9625,6.8625,6.8625,6.211538461538462,2.5396825396825395,1.4375,1.6176470588235294,4.384615384615385,1.5555555555555556,1.2857142857142858,1.1666666666666667,1.4285714285714286,1.2941176470588236,1.0,1.25,2.5,1.5588235294117647,1.2307692307692308,1.1538461538461537,40.6,1.9574468085106382,1.625,1.2,1.411764705882353,1.4651162790697674,2.515151515151515,3.689189189189189,1.6785714285714286,1.6,1.1666666666666667,2.4,1.25,1.125,1.48,1.4615384615384615,1.3333333333333333,1.1666666666666667,123.6375,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
989.5254237288135,989.5254237288135,6.745762711864407,6.745762711864407,5.036363636363636,3.2941176470588234,1.1666666666666667,1.509433962264151,6.067796610169491,1.4838709677419355,1.0952380952380953,2.75,1.4,1.52,1.1428571428571428,1.2222222222222223,1.3333333333333333,2.029850746268657,1.1875,1.4090909090909092,40.73275862068966,1.9259259259259258,1.5277777777777777,1.2380952380952381,1.5,1.7258064516129032,3.5625,5.948717948717949,1.4782608695652173,1.0833333333333333,1.2222222222222223,1.9078947368421053,1.0,1.1538461538461537,1.5471698113207548,1.4210526315789473,1.619047619047619,1.4390243902439024,233.4406779661017,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1
268.015873015873,268.015873015873,8.30952380952381,8.30952380952381,8.85,2.2837837837837838,1.3157894736842106,1.6363636363636365,4.018348623853211,1.6666666666666667,1.0833333333333333,1.0,1.9375,1.3636363636363635,1.25,1.25,1.0,2.3035714285714284,1.0,1.2307692307692308,23.484126984126984,2.8875,1.3103448275862069,1.4,1.3636363636363635,1.836734693877551,2.75,3.121495327102804,1.7297297297297298,1.2142857142857142,1.5,1.7428571428571429,1.3333333333333333,1.125,1.48,1.375,1.511111111111111,1.3461538461538463,136.26190476190476,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
468.54545454545456,468.54545454545456,7.5636363636363635,7.5636363636363635,6.068181818181818,4.0576923076923075,1.3928571428571428,1.7647058823529411,7.672727272727273,1.4634146341463414,1.3214285714285714,1.1666666666666667,1.4838709677419355,1.4090909090909092,1.3333333333333333,1.7142857142857142,1.1666666666666667,2.8933333333333335,1.0588235294117647,1.1666666666666667,56.56363636363636,2.606741573033708,1.7380952380952381,1.3636363636363635,1.5714285714285714,1.8135593220338984,2.231707317073171,4.685185185185185,1.5416666666666667,1.1666666666666667,1.1666666666666667,2.196078431372549,1.0,1.2857142857142858,1.88,1.4090909090909092,1.5945945945945945,1.813953488372093,110.77272727272727,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
