XMax,XMin,YMax,YMin,SMA Intensity,MEK1/2 Intensity,MKI67 Intensity,CD14 Intensity,ERK1/2 Intensity,CD16 Intensity,CD31 Intensity,ICOS Intensity,CD29 Intensity,PDL1 Intensity,OX40 Intensity,CD45 Intensity,LAG3 Intensity,TIM3 Intensity,FOXP3 Intensity,CD4 Intensity,CCR7 Intensity,CD68 Intensity,VISTA Intensity,CD20 Intensity,CD8A Intensity,pMEK1/2 Intensity,SOX10 Intensity,CTNNB1 Intensity,CD45RA Intensity,IGLL5 Intensity,CD40 Intensity,COL1 Intensity,CD3 Intensity,pERK1/2 Intensity,CASP3 Intensity,CD45RO Intensity,HLA-DR Intensity,S100 Intensity,H3 Intensity,SMA Positive,MEK1/2 Positive,MKI67 Positive,CD14 Positive,ERK1/2 Positive,CD16 Positive,CD31 Positive,ICOS Positive,CD29 Positive,PDL1 Positive,OX40 Positive,CD45 Positive,LAG3 Positive,TIM3 Positive,FOXP3 Positive,CD4 Positive,CCR7 Positive,CD68 Positive,VISTA Positive,CD20 Positive,CD8A Positive,pMEK1/2 Positive,SOX10 Positive,CTNNB1 Positive,CD45RA Positive,IGLL5 Positive,CD40 Positive,COL1 Positive,CD3 Positive,pERK1/2 Positive,CASP3 Positive,CD45RO Positive,HLA-DR Positive,S100 Positive,H3 Positive
451.9117647058824,451.9117647058824,5.455882352941177,5.455882352941177,4.842105263157895,5.454545454545454,2.0,1.4137931034482758,10.0,1.5217391304347827,1.0,1.0,1.4166666666666667,1.75,1.25,1.0,1.6666666666666667,1.25,1.1818181818181819,1.1111111111111112,24.897058823529413,3.6666666666666665,1.3333333333333333,1.2222222222222223,1.2727272727272727,1.6774193548387097,4.0,1.2666666666666666,1.9333333333333333,1.0,1.3636363636363635,5.633333333333334,1.0,1.6666666666666667,1.2,1.375,1.1666666666666667,6.1911764705882355,43.338235294117645,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
292.01428571428573,292.01428571428573,6.457142857142857,6.457142857142857,7.190476190476191,7.142857142857143,3.4915254237288136,3.574074074074074,11.457142857142857,3.5294117647058822,1.5555555555555556,112.0,1.35,1.5625,1.25,1.1111111111111112,1.3333333333333333,1.6206896551724137,1.25,1.4,20.27536231884058,3.8666666666666667,1.4210526315789473,1.0,1.75,1.4871794871794872,2.6226415094339623,1.4814814814814814,1.5,1.1428571428571428,1.3076923076923077,2.717948717948718,1.0,1.0,1.1666666666666667,1.8571428571428572,1.3703703703703705,9.771428571428572,114.64285714285714,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.605504587155963,8.605504587155963,5.853211009174312,5.853211009174312,4.551724137931035,6.345794392523365,1.4482758620689655,2.1176470588235294,11.761467889908257,1.625,1.1538461538461537,1.2727272727272727,1.2083333333333333,1.6666666666666667,1.125,1.3333333333333333,1.0,1.565217391304348,1.1666666666666667,1.25,13.11111111111111,2.674698795180723,2.022222222222222,1.4285714285714286,1.2666666666666666,2.019230769230769,6.161904761904762,1.9811320754716981,1.56,1.1538461538461537,1.3703703703703705,2.7936507936507935,1.2,1.0666666666666667,1.2941176470588236,1.3055555555555556,2.6136363636363638,18.59633027522936,206.59633027522935,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
45.11363636363637,45.11363636363637,6.3522727272727275,6.3522727272727275,3.425531914893617,4.732558139534884,1.3571428571428572,5.931818181818182,10.045454545454545,3.6595744680851063,1.5714285714285714,1.1111111111111112,1.0625,1.2941176470588236,1.0909090909090908,1.6923076923076923,1.0,1.8974358974358974,1.125,1.6842105263157894,13.26923076923077,3.91044776119403,1.8,1.125,1.8181818181818181,1.8275862068965518,5.35,1.2580645161290323,1.263157894736842,1.4545454545454546,1.7777777777777777,3.2641509433962264,1.25,1.4615384615384615,1.4761904761904763,1.9230769230769231,1.8888888888888888,12.613636363636363,240.73863636363637,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1
923.5671641791045,923.5671641791045,6.373134328358209,6.373134328358209,6.5,4.125,1.4285714285714286,2.972972972972973,3.5,2.52,7.34375,1.1666666666666667,1.8846153846153846,1.6666666666666667,1.1428571428571428,2.710526315789474,1.0,1.6923076923076923,1.0588235294117647,1.5,56.507462686567166,6.186440677966102,2.8846153846153846,2.9523809523809526,1.125,2.0256410256410255,1.4782608695652173,1.4615384615384615,22.90625,1.8235294117647058,3.0714285714285716,4.035087719298246,1.25,1.125,1.4210526315789473,1.606060606060606,1.32,3.0238095238095237,187.3582089552239,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1
950.28,950.28,5.32,5.32,1.3333333333333333,5.397260273972603,2.7222222222222223,1.7575757575757576,9.906666666666666,1.5625,1.2222222222222223,1.375,1.2352941176470589,1.48,1.0,1.1666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.2222222222222223,8.301369863013699,2.9642857142857144,1.3076923076923077,1.0,1.2857142857142858,1.7241379310344827,6.222222222222222,1.4827586206896552,1.9333333333333333,1.125,1.24,6.447761194029851,1.0,1.4,1.5294117647058822,1.4,1.6666666666666667,5.135135135135135,119.30666666666667,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
938.0340909090909,938.0340909090909,7.090909090909091,7.090909090909091,1.76,5.2317073170731705,2.196078431372549,1.5625,10.340909090909092,1.6153846153846154,1.25,16.0,1.2727272727272727,1.4230769230769231,1.0,1.25,1.1428571428571428,1.5,1.25,1.0,12.939759036144578,2.890625,1.7142857142857142,1.0833333333333333,1.4166666666666667,1.84375,5.586206896551724,2.05,1.7142857142857142,1.3571428571428572,1.5,6.0,1.0,1.25,1.5,1.5,1.6176470588235294,7.379310344827586,95.69318181818181,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1
502.53521126760563,502.53521126760563,7.169014084507042,7.169014084507042,1.3333333333333333,7.070422535211268,1.2,4.723404255319149,9.535211267605634,4.217391304347826,1.0,1.2,1.5789473684210527,1.6153846153846154,1.25,1.8,1.5,1.9428571428571428,1.1428571428571428,1.7647058823529411,25.816901408450704,6.169811320754717,1.4827586206896552,1.125,1.368421052631579,1.9743589743589745,3.8059701492537314,1.5555555555555556,1.6153846153846154,1.5,1.85,4.63265306122449,1.2727272727272727,1.0,1.6363636363636365,1.9473684210526316,2.0,19.098591549295776,78.8169014084507,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
555.7903225806451,555.7903225806451,8.983870967741936,8.983870967741936,6.844444444444444,4.934959349593496,1.7777777777777777,3.2133333333333334,7.553719008264463,4.336956521739131,2.0,40.18181818181818,1.5510204081632653,1.7692307692307692,1.1333333333333333,4.36144578313253,1.8823529411764706,2.462686567164179,1.2142857142857142,1.411764705882353,47.32258064516129,7.798165137614679,2.2025316455696204,1.55,9.63265306122449,2.038961038961039,2.8085106382978724,1.7045454545454546,1.4,1.75,3.8987341772151898,5.165137614678899,3.8421052631578947,1.375,1.3714285714285714,9.117021276595745,1.4390243902439024,6.777777777777778,120.96774193548387,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
116.18181818181819,116.18181818181819,7.636363636363637,7.636363636363637,1.4230769230769231,7.857142857142857,1.894736842105263,2.193548387096774,13.87012987012987,1.9024390243902438,1.1428571428571428,1.3333333333333333,1.736842105263158,1.5,0.0,1.3333333333333333,1.0,1.68,1.2857142857142858,1.2,10.098591549295774,2.625,1.6666666666666667,1.3333333333333333,1.3,1.542857142857143,6.876712328767123,1.4642857142857142,2.0952380952380953,1.3333333333333333,1.5714285714285714,4.261904761904762,1.3333333333333333,1.5714285714285714,1.3636363636363635,1.5833333333333333,1.75,18.532467532467532,108.79220779220779,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
